p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,2002
411797,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,22,243,3393762,3151755,0
409430,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,6,240,3384231,3156706,190444000
409438,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,2,231,3393124,3156932,83621000
409428,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,5,230,3376865,3162106,0
409439,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,3,228,3391537,3155161,127000
409440,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,4,228,3388772,3155119,81000
409433,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,8,223,3382893,3159819,2808000
409434,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,7,209,3390883,3159952,0
409429,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,11,206,3380553,3157687,175169000
409444,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,13,196,3375176,3151461,0
411795,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,20,178,3372573,3150126,0
411785,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,19,170,3370449,3157349,0
409427,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,14,163,3372865,3157047,223346000
409445,19794151,ILLINOIS AMERICAN - WEST SUBURBAN DIV,12,157,3375898,3154911,166161000
410176,19790450,JOLIET,13,200,3343004,3108331,0
410367,19790450,JOLIET,14,200,3343004,3108331,0
412262,19790450,JOLIET,301,127,3407825,3104880,0
409312,19790450,JOLIET,201,125,3407667,3104932,139333297
412267,19790450,JOLIET,304,121,3410684,3107394,0
409418,19790450,JOLIET,204,115,3410772,3107451,78241054
412263,19790450,JOLIET,302,100,3408297,3102906,0
409417,19790450,JOLIET,205,95,3409852,3106261,80492596
409313,19790450,JOLIET,202,90,3407918,3102872,198903194
412268,19790450,JOLIET,305,90,3409856,3106133,0
409316,19790450,JOLIET,203,83,3407627,3100268,104453599
412264,19790450,JOLIET,303,83,3407912,3100264,0
409373,19795239,JOLIET REGION PORT DIS AIRPORT,6,310,3387402,3123638,0
409371,19795239,JOLIET REGION PORT DIS AIRPORT,2,300,3386387,3123463,0
409372,19795239,JOLIET REGION PORT DIS AIRPORT,5,300,3387402,3123638,0
409378,19795239,JOLIET REGION PORT DIS AIRPORT,4,285,3383076,3122736,4171200
400186,19790500,LOCKPORT,9,420,3399455,3121389,70609000
412178,19790500,LOCKPORT,15,403,3412529,3115737,0
400187,19790500,LOCKPORT,8,400,3401937,3116359,68837000
411445,19790500,LOCKPORT,10,400,3404384,3126583,0
411713,19790500,LOCKPORT,14,390,3403955,3129584,0
405030,19790500,LOCKPORT,6,380,3406705,3111305,143177000
410983,19790500,LOCKPORT,7,375,3415047,3116534,189316000
409408,19790500,LOCKPORT,16,355,3402185,3129089,40000000
411711,19790500,LOCKPORT,12,340,3403366,3124244,0
409414,19790500,LOCKPORT,5,330,3402577,3117230,64519000
411710,19790500,LOCKPORT,11,310,3399455,3121389,0
411712,19790500,LOCKPORT,13,297,3402168,3128968,0
444131,19790500,LOCKPORT,17,260,3415652,3117065,0
409397,19798100,LOCKPORT TWP WATER SYSTEM,1,405,3391156,3105501,27568000
409398,19798100,LOCKPORT TWP WATER SYSTEM,2,400,3392877,3109543,31593000
409400,19798100,LOCKPORT TWP WATER SYSTEM,0,395,3392509,3106097,0
409201,19790550,MANHATTAN,5,305,3411420,3060846,0
409202,19790550,MANHATTAN,2,156,3413301,3057315,187000
409200,19790550,MANHATTAN,4,115,3414004,3059233,7075000
