p_num,isws_facility_id,owner,fac_well_num,total_name,depth_total_last_known,lam_x,lam_y,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409209,19795030,AQUA ILLINOIS UNIVERSITY PARK,5,AQUA ILLINOIS UNIVERSITY PARK W5 pnum409209,524,3488960,3065516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409206,19795030,AQUA ILLINOIS UNIVERSITY PARK,7,AQUA ILLINOIS UNIVERSITY PARK W7 pnum409206,488,3499025,3065631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23800000,13800000,0,0,0,0,0,12458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861000,593006,2139000,3566000,840000,834000,3958000,3958000,3958000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409208,19795030,AQUA ILLINOIS UNIVERSITY PARK,1,AQUA ILLINOIS UNIVERSITY PARK W1 pnum409208,480,3497394,3063880,0,0,0,0,0,0,0,0,0,0,0,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,134602548,156626000,274518000,244900000,251200000,241726000,243800000,194478000,320252000,330489000,311714000,200390000,242749000,275186000,275186000,300271000,300271000,300290000,314727000,312013000,278040000,306888000,292777000,204354000,188708000,222011187,164506002,162799334,171388693,162478772,147741709,141886463,129942800,150352000,99885000,99885000,99885000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409212,19795030,AQUA ILLINOIS UNIVERSITY PARK,6,AQUA ILLINOIS UNIVERSITY PARK W6 pnum409212,460,3475669,3063037,0,0,0,0,0,0,0,0,0,0,0,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,3579484,63187000,31666000,17000000,8900000,56742000,17414000,44903000,3494000,15686000,17653000,4163000,6885000,2291000,2291000,5903000,5903000,8457000,4711300,16714000,10336200,39960000,31072000,11926624,47005808,486915,38729,1204190,9343933,2838895,2856725,863096,11071000,386000,2576000,2576000,2576000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409211,19795030,AQUA ILLINOIS UNIVERSITY PARK,3,AQUA ILLINOIS UNIVERSITY PARK W3 pnum409211,457,3478460,3062975,0,0,0,0,0,0,0,0,0,0,0,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,27856161,96629000,144235000,122800000,104200000,89550000,113276000,102573000,189221000,116362000,125106000,111798000,122745000,88312000,88312000,76647000,76647000,93700000,95216000,103678000,141406000,137638000,165399000,228157846,125306871,170299105,164349575,149220691,133483084,116139387,119117698,89139930,83901000,167327000,157371000,157371000,157371000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
411523,19790060,AQUA ILLINOIS VILLAGE WOODS,3,AQUA ILLINOIS VILLAGE WOODS W3 pnum411523,526,3511865,3050766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12910629,13154226,13397823,13641419,13885016,14128613,14372210,14615806,14859403,13882482,15103000,14509000,15051200,15624578,14317000,13547300,14361400,13684000,12672400,13545000,13889700,13290000,11839000,12132000,12029000,12029000,11024000,11024000,14592000,13504000,11977000,491000,264000,469000,391000,249000,593900,1093800,468100,156000,115900,302800,131000,269100,327700,320800,320800,320800,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
410361,19790060,AQUA ILLINOIS VILLAGE WOODS,2,AQUA ILLINOIS VILLAGE WOODS W2 pnum410361,450,3512990,3051486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4728200,4696553,5684742,6548140,5626000,5869000,5869000,4836000,5335500,6317500,11721000,11797500,12278000,11822500,12156000,14247000,10586000,11107500,11675500,7804000,10791500,9881700,8615000,9241000,10187000,10187000,10187000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409998,19790060,AQUA ILLINOIS VILLAGE WOODS,1,AQUA ILLINOIS VILLAGE WOODS W1 pnum409998,450,3512972,3051518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300000,5633440,8196500,9231680,4842947,4964604,6996262,5626000,5538000,5538000,4835000,5335500,6317500,11721000,11797500,12278000,11822500,12156000,10252000,10642500,11107500,11675500,13159000,9301500,9505802,9522000,9264600,10308000,10308000,10308000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
409237,19797870,AQUA ILLINOIS WILLOWBROOK UTILITIES,2,AQUA ILLINOIS WILLOWBROOK UTILITIES W2 pnum409237,570,3533555,3068500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776677,3847935,3919194,3990452,4061710,4132968,4204226,4275484,4346742,629400,4418000,6344000,40991000,3108000,6885000,3917000,6600000,2445000,3597000,4131000,3403000,465000,5279000,5939000,785000,785000,790000,790000,276000,2893000,5157000,1864600,4860500,12000,50000,1518000,102000,232000,8000,11000,136000,156800,6000,2000,38000,24000,24000,24000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
411525,19797870,AQUA ILLINOIS WILLOWBROOK UTILITIES,3,AQUA ILLINOIS WILLOWBROOK UTILITIES W3 pnum411525,457,3535582,3065958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7646000,58875000,51602000,63789000,56993000,66199000,72413000,49550000,52315000,52315000,84050000,91823000,68960000,54593000,54593000,54593000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
