 pp_0000               3.3528000000E+03      8.1991200000E+04      1           1.0000000000E+00     
 pp_0001               9.4488000000E+03      8.1991200000E+04      1           1.0000000000E+00     
 pp_0002               1.5544800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0003               2.1640800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0004               2.7736800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0005               3.3832800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0006               3.9928800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0007               4.6024800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0008               5.2120800000E+04      8.1991200000E+04      1           1.0000000000E+00     
 pp_0009               3.3528000000E+03      7.5895200000E+04      1           1.0000000000E+00     
 pp_0010               9.4488000000E+03      7.5895200000E+04      1           1.0000000000E+00     
 pp_0011               1.5544800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0012               2.1640800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0013               2.7736800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0014               3.3832800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0015               3.9928800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0016               4.6024800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0017               5.2120800000E+04      7.5895200000E+04      1           1.0000000000E+00     
 pp_0018               3.3528000000E+03      6.9799200000E+04      1           1.0000000000E+00     
 pp_0019               9.4488000000E+03      6.9799200000E+04      1           1.0000000000E+00     
 pp_0020               1.5544800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0021               2.1640800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0022               2.7736800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0023               3.3832800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0024               3.9928800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0025               4.6024800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0026               5.2120800000E+04      6.9799200000E+04      1           1.0000000000E+00     
 pp_0027               3.3528000000E+03      6.3703200000E+04      1           1.0000000000E+00     
 pp_0028               9.4488000000E+03      6.3703200000E+04      1           1.0000000000E+00     
 pp_0029               1.5544800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0030               2.1640800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0031               2.7736800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0032               3.3832800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0033               3.9928800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0034               4.6024800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0035               5.2120800000E+04      6.3703200000E+04      1           1.0000000000E+00     
 pp_0036               3.3528000000E+03      5.7607200000E+04      1           1.0000000000E+00     
 pp_0037               9.4488000000E+03      5.7607200000E+04      1           1.0000000000E+00     
 pp_0038               1.5544800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0039               2.1640800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0040               2.7736800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0041               3.3832800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0042               3.9928800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0043               4.6024800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0044               5.2120800000E+04      5.7607200000E+04      1           1.0000000000E+00     
 pp_0045               3.3528000000E+03      5.1511200000E+04      1           1.0000000000E+00     
