p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
404097,19713934,WOODRUFF GOLF COURSE,1,204,3405881,3097359,,,,3400000,,,3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404098,19713934,WOODRUFF GOLF COURSE,2,210,3405221,3098019,,,,1900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404103,19713935,INWOOD GOLF COURSE,1,140,3366483,3091432,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7569000,,,,,
404105,19713937,K AND K CONCRETE WORKS,1,,3386075,3084565,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404106,19713940,KALUZNY BROS INC,1,400,3370749,3085665,9000000,8000000,8000000,8000000,8000000,8000000,8000000,7500000,7000000,6500000,5000000,5000000,4500000,4000000,2250000,4850000,2325000,2325000,,,,,,,,,,,,,,,,,,,,,
404109,19713960,NICOR GAS - SHOREWOOD,1,,3354577,3088315,150000,150000,440000,450000,450000,450000,450000,450000,450000,520000,520000,520000,520000,520000,520000,221000,221000,221000,,,200000,200000,1400,1400,1200,1200,,,,,,,,,,,,,
404110,19713995,WEBER DAIRY,1,,3383700,3094925,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404111,19714110,SLATER-LEMONT,1,152,3398787,3145786,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404112,19714110,SLATER-LEMONT,2,1500,3398787,3145786,14500000,11440000,11440000,11440000,11440000,11440000,11440000,13960677,,13960677,14000000,14000000,5400000,5400000,13800000,14754600,15341600,27554500,22458500,22458500,1530000,,,,,,,,,,,,,,,,,,
404114,19714159,BIG RUN GOLF CLUB,2,80,3397205,3135842,9150000,0,300000,300000,300000,300000,300000,300000,,100000,,,,,,,,,,,,,150000,150000,75000,75000,118938,118938,40000,40000,40000,,,,,,,,
404115,19714159,BIG RUN GOLF CLUB,3,120,3397205,3135842,,,,,,,,,,100000,,,,,,,,,,,,,180000,180000,50000,50000,157863,157863,36500,36500,36500,,,,,,,,
404116,19714159,BIG RUN GOLF CLUB,4,70,3397205,3135842,,,,,,,,,,100000,,,,,,,,,,,,,30000,30000,30000,30000,30000,30000,10000,10000,10000,,,,,,,,
404117,19714159,BIG RUN GOLF CLUB,1,0,3397205,3135842,0,12990000,4000000,4000000,4000000,4000000,4000000,4000000,,4000000,,,,,,,,,,,,,4500000,3375000,7500000,7500000,,8640000,2000000,1500000,1500000,,,,,,,,
404119,19714220,MWRDGC - LOCKPORT HYDRO,1,852,3386979,3110943,250000,18460,73000,73000,50000,25000,25000,18000,17250,18250,18250,18250,18250,18250,18250,18250,18250,18500,21900,20085,25003,22540,1113840,2181360,2438200,2156960,3080740,2347020,2271880,1958060,2179060,1427660,1150160,764240,1538000,1272080,755360,1298960,
404122,19714240,CONCRETE SPECIALTIES,1,206,3389816,3120872,12000000,7250000,7320000,7730000,10050000,9756000,9756000,2900000,3370000,3370000,3370000,,,,,,200000,,,387600,387600,635400,1406000,1350000,1793750,2500000,600000,360000,0,,,,,,,,,,
404123,19714240,CONCRETE SPECIALTIES,2,153,3389816,3121532,0,0,0,0,0,0,0,492775,537025,537025,537025,,,,,,30000,,,387600,387600,635400,49000,25000,15600,52000,61250,83300,0,,,,,,,,,,
404124,19714241,HANSON MATERIAL SERVICE - YARD 61,4,180,3390750,3131582,,,,,,,,,,,,,,,1172000000,,,,,,,,,,,120000,120000,140000,140000,130000,140000,29000,150000,200000,250000,200000,200000,250000,
404125,19714257,ROMEOVILLE HIGH SCHOOL,1,,3385409,3131324,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404127,19714285,WALSH LOCKER AND COLD STORAGE,1,,3412930,3054244,27400,225000,225000,89450,89000,89000,89000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404128,19714341,GRAVER TANK COMPANY,1,,3439824,3106012,3660000,3660000,3660000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404130,19714342,MOKENA MILLS INC,1,,3438660,3096635,250000,200000,210000,200000,76730,66440,82000,144900,402500,450000,516000,462000,425000,410000,360000,270000,220000,,,,,,,,,,,,,,,,,,,,,,
404131,19714345,WILLOW RUN GOLF COURSE,1,,3429913,3105065,9150000,0,4000000,4000000,4000000,4000000,4000000,3000000,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404132,19714345,WILLOW RUN GOLF COURSE,2,150,3430589,3104099,0,0,375000,375000,375000,375000,375000,3000000,4000000,375000,4400000,4400000,4400000,4400000,4400000,4750000,4400000,4500000,,,9955440,9955440,9955440,9955440,9955440,,,,,,,,,,,,,,
404133,19714345,WILLOW RUN GOLF COURSE,3,300,,,0,0,4000000,4000000,4000000,4000000,4000000,3000000,5000000,4000000,4800000,4800000,4800000,4800000,4400000,4750000,4800000,4500000,,,9955440,9955440,9955440,9955440,9955440,,,,,,,,,,,,,,
404136,19714509,LINCOLNWAY HIGH SCHOOL,1,356,3428383,3090903,2975000,2531666,4160000,4160000,4160000,2000000,4610500,5634600,,4284945,4284945,2142767,1661500,1661500,1049031,3331200,1052000,1950000,2000000,2000000,2816000,2816000,2675000,2675000,2675000,2500000,,,,,,,,,,,,,
404137,19714509,LINCOLNWAY HIGH SCHOOL,2,153,3427063,3091563,2562000,5063334,400000,400000,400000,2000000,2000000,0,,,,,,,,1296000,,,,,,,500000,500000,500000,6354400,6854400,6854400,6854400,,,,,,,,,,
404138,19714509,LINCOLNWAY HIGH SCHOOL,3,,3427723,3090903,2975000,2531667,4160000,4160000,4160000,2000000,4610500,3756400,,4284945,4284945,2142767,1661500,1661500,,,0,,,,,,,,,,,,,,,,,,,,,,
404139,19714509,LINCOLNWAY HIGH SCHOOL,4,160,3427723,3091563,0,0,400000,400000,400000,3000000,3000000,0,,,,,,,,,,,,,,,,,,1612300,1612800,1612800,1612800,,,,,,,,,,
404141,19714709,BFM COMPANY,1,,3492207,3067809,3660000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404142,19714710,CONTINENTAL/MIDLAND,1,206,3498849,3070636,0,0,20160,0,0,1029800,1029800,0,,0,,,,,,,,,,,,,,,21200,,,,,,,,,,,,,,
404143,19714710,CONTINENTAL/MIDLAND,2,405,3498189,3071296,20318090,20318090,23360000,14220000,11680000,56471800,56471800,46488000,25118000,27375000,25185000,26565000,22411000,11571350,7747680,18711000,23454900,4488000,4488000,4488000,6545000,4408712,1310500,1123900,642879,23094100,23280200,25470070,25470070,22120000,25470000,25470000,,,,,,,
404144,19714711,DEER CREEK GOLF COURSE,1,400,3499635,3064116,,,,,,,15000000,18500000,,19000000,19000000,19000000,18000000,18000000,,,8000000,,,,,,200000000,100000000,100000000,,,,,,7000000,11000000,,,,,,,
404147,19714775,UNIVERSITY GOLF CLUB,1,428,3487549,3071595,2000000,2000000,17000000,2000000,2500000,2500000,2500000,,,1900000,1920000,2250000,500000,2000000,2500000,2225000,,,,,,,,,9286668,9286668,9286668,,,,,,,,,,,,
404148,19714775,UNIVERSITY GOLF CLUB,2,200,3488774,3071746,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404149,19714775,UNIVERSITY GOLF CLUB,3,260,3488774,3071746,400000,4000000,1000000,1000000,1100000,1250000,1250000,,,267000,267000,1000000,1000000,850000,850000,850000,,,,,,,,,,,,,,,,,,,,,,,
404150,19714775,UNIVERSITY GOLF CLUB,4,250,3488774,3071746,400000,4000000,50000,500000,350000,50000,50000,,,121545,121545,450000,450000,450000,450000,450000,,,,,,,,,,,,,,,,,,,,,,,
404152,19714775,UNIVERSITY GOLF CLUB,5,250,3488774,3071746,100000,1000000,20000,100000,25000,25000,25000,,,12000,12166,20000,15000,15000,,15000,,,,,,,,,,,,,,,,,,,,,,,
404153,19714775,UNIVERSITY GOLF CLUB,6,,3488774,3071746,100000,0,0,0,25000,25000,25000,,,12000,12166,20000,15000,15000,,15000,,,,,,,,,,,,,,,,,,,,,,,
404154,19714775,UNIVERSITY GOLF CLUB,7,,3488774,3071746,100000,1000000,20000,100000,25000,25000,25000,,,12000,12166,20000,15000,15000,,15555,,,,,,,,,,,,,,,,,,,,,,,
404155,19714832,SUN VALLEY SPORTS CLUB,1,,3526740,3061069,5490000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404156,19714833,GOOCH FOODS INC,1,,3509243,3075522,9150000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404157,19714837,LONGWOOD COUNTRY CLUB,1,400,,,,,,,,,,,,,,,,,,,,,,,,,,,275000,276000,223000,268000,284300,284300,262000,552000,,,,,,,
404158,19714837,LONGWOOD COUNTRY CLUB,2,,,,0,0,450000,450000,450000,500000,500000,,,450000,450000,450000,12000,12000,12000,7500,15000,10000,12000,8500,8500,8000,7000,7000,10000,10800,9800,8400,9300,9300,7200,6000,,,,,,,
404159,19714838,TEXAS EASTERN TRANSMISSION,1,,3504623,3076182,1830000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404160,19714865,SAUNORIS NURSERY,1,300,3465622,3098441,26344800,26344800,2500000,1700000,1700000,1700000,69715,73000,7665,3050000,,41600,,1728000,,5430800,5430800,5430800,,1825000,3150000,3150000,3600000,3600000,3600000,3600000,,4000000,4000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,
404164,19714895,PHIBRO-TECH INC,1,230,3391349,3151428,0,0,0,0,0,16750,16750,,130000,44050,,,153300,153300,104000,104000,104000,,,,,,,,,,,,,,,,,,,,,,
404165,19714907,WILMINGTON COMMUNITY UNIT,1,,3371522,3005760,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,
404168,19716650,AVERY GRAVEL CO INC,1,,,,15000,65000,65000,65000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404170,19716670,WILL COUNTY FOREST PRESERVE,1,65,3363167,3119547,110000000,92000000,0,4000,4000,4000,4000,4000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404172,19716675,CRYSTAL LAWNS SCH C/O DIST 202,1,180,3366901,3110522,900000,213155,168165,173830,205215,202306,216890,217580,257500,232674,,254100,235456,240000,240500,,,,,,,,,,,,,,,,,,,,,,,,
404175,19716685,GRAND PRAIRIE SCHOOL C/O DIST 202,1,250,3363823,3108412,1455000,219800,273060,249750,205215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404176,19716690,PLAINFIELD STAMPING ILL INC,1,,,,78000,78000,260000,310000,300000,300000,300000,3000000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404178,19716707,TAMARACK GOLF CLUB,2,100,3350607,3153984,,,,,,,,,,,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404179,19717250,PRAXAIR,1,1630,3376936,3062390,23652000,7254000,7254000,10901000,7254000,7254000,7254000,7254000,7254000,5291625,3685325,5291625,3749500,4227525,1600000,1600000,,,,,,,,,,,,,,,,,,,,,,,
404180,19729981,OZINGA BROS INC - MOKENA PLANT,3,,3450442,3104459,2750000,1530000,1836000,3388000,3820000,5272000,5382500,5113000,5220000,4350000,3600000,4600000,7100000,6800000,6800000,6100000,3200000,4300000,4950000,4300000,3850000,4250000,4250000,3700000,4700000,5300000,4100000,2800000,2300000,2600000,2400000,3200000,3200000,3300000,4100000,3100000,3100000,2800000,
404181,19730131,COMM ED - JOLIET OFFICE BLDG,1,165,3399374,3082729,3660000,3660000,2000000,1500000,1500000,1500000,1500000,3750000,,3375000,,,,,,,1950000,,144000,2628000,2555000,2609750,2615225,2616950,2628435,2957391,2841027,,,,,,,,,,,,
404182,19730240,MIDWEST GENERATION - JOLIET ST 9  UNITS 1-6,2,1487,3378106,3083682,0,0,14351913,25328160,30677000,31825000,22230000,22230000,66779400,150500921,24000000,20000000,60264527,16000000,16000000,,,,,,,,27143500,18340350,19512000,14797550,7899455,8646000,23000000,11057525,9916464,12800750,12693680,15095212,32999809,51839179,36242334,31403745,
404183,19730240,MIDWEST GENERATION - JOLIET ST 9  UNITS 1-6,5,1505,3377069,3083026,61787000,77491733,14351913,25328160,32185700,31825000,22230000,22230000,27915600,170492000,24150000,18757000,60264527,17588000,17588000,,,,,,,,27143500,18340350,19512000,14797550,7899455,8646000,23000000,11057525,9916464,12800750,12693680,15095213,32999809,,,0,
404187,19730330,MIDWEST GENERATION - JOLIET ST 29 UNITS 7-8,3,1525,3375785,3082724,401500000,402960000,166389000,86012000,86450,75000000,166389000,138800000,82862000,176773800,122300000,80837400,38812000,116000000,,,,,,,,,58083450,51054450,39468500,32992700,24883380,22556800,53000000,24670600,20433002,22463450,26593400,35784976,83061420,117870610,97236207,122546276,
404188,19730330,MIDWEST GENERATION - JOLIET ST 29 UNITS 7-8,4,1525,3375497,3083996,164000000,333975000,166389000,86012000,271000,75000000,166389000,79160000,121060000,21186000,93726000,60200000,132000000,,,,,,,,,,58083450,51054450,39468500,32992700,24883380,22556800,53000000,24670600,20433002,22463450,26593400,35784976,83061421,,,0,
404190,19730360,MIDWEST GENERATION - ROMEOVILLE,1,1500,3391410,3134882,197691000,279510000,216000000,200280300,238700000,204225900,87018240,88050000,90830000,180360000,207720000,147660000,109760000,126560000,102240000,127290000,130000000,130000000,,,,,8000000,7500000,14500000,14500000,38000000,22000000,21000000,18650000,11456000,8517594,22643370,25968410,25084489,21508304,41442586,48403369,
404191,19730360,MIDWEST GENERATION - ROMEOVILLE,2,1503,3390750,3136202,3845000,189594300,24190000,20952000,540000,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
404192,19730360,MIDWEST GENERATION - ROMEOVILLE,3,1507,3390750,3134882,77184000,1468800,72580000,68040000,31440000,269217900,10422720,10800000,9390000,55520000,90770000,105050000,2260000,35240000,57370000,51270000,55000000,55000000,,,,,8000000,7500000,14500000,14500000,38000000,22000000,21000000,18650000,11456000,8517594,,,,,,0,
404194,19747230,JOHNS MANVILLE INTERNATIONAL I,1,156,,,4680000,1742400,1952160,2414400,3465600,3892800,561600,910000,1742400,1200000,,1200000,1450000,1450000,1450000,1450000,1450000,450000,450000,1000000,2250000,1687500,2137500,2250000,2500000,1050000,1050000,1223500,775805,800479,703118,569908,573095,,,,,,
404195,19747230,JOHNS MANVILLE INTERNATIONAL I,2,160,,,43365000,34745000,38610432,28807760,17433360,31767120,34428240,26375000,34745000,14000000,,31500000,13248000,13248000,15896500,15896500,15900000,16400000,16400000,,,,,,,,,,,,,,,,,,,,
404197,19747230,JOHNS MANVILLE INTERNATIONAL I,4,180,,,62445600,42329000,48337764,42126540,39695100,44281680,44410620,38610437,42329000,13000000,,31500000,19870000,19870000,15896500,15896500,15900000,16400000,16400000,20000000,16500000,12375000,15675000,16500000,17000000,7700000,7700000,8972400,5689238,5870179,1094400,1094400,4202570,,,,,,
404198,19760100,HAMMEL WOODS FOREST PRESERVE,1,105,3355728,3093104,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,
404199,19760100,HAMMEL WOODS FOREST PRESERVE,2,,3355728,3095084,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,
404200,19760100,HAMMEL WOODS FOREST PRESERVE,3,220,3355728,3095744,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,
404201,19760170,DES PLAINES CONS AREA,1,775,3352398,3035314,150,25000,0,0,200000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,20000,1851,4491,7000,8000,8000,,,,,,,,,,
404202,19760170,DES PLAINES CONS AREA,2,,3360238,3027008,3600,12500,0,200000,0,0,0,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404203,19760170,DES PLAINES CONS AREA,3,125,3352398,3039934,38300,12500,0,275000,275000,,10000,10000,10000,10000,5000,5000,5000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,73000,,73000,29500,72520,63500,73490,70645,67687,59833,59617,59797,59817,59557,
404204,19760170,DES PLAINES CONS AREA,4,140,3353058,3039934,36500,18000,0,185000,185000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,73000,54750,56392,29200,70000,54400,54600,54825,55208,48456,47915,48238,48161,48212,48291,
404205,19760170,DES PLAINES CONS AREA,101,,3353058,3038614,,,,,,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,146000,73000,150380,73000,,73450,82500,70400,66720,63118,51641,,51538,51581,51443,
404208,19760175,DES PLAINES GAME FARM,1,813,3363043,3023050,,,,,,,15600,16000,,109500,109500,73000,62050,54750,109500,73000,73000,109500,109500,146000,164250,146000,146000,146000,153300,182500,182500,200750,200750,92000,108000,198000,220000,200000,240000,265000,265000,,
404209,19760175,DES PLAINES GAME FARM,2,,3366444,3021366,,,,,,,102200,104000,,22800,27375,27375,29200,29200,32850,52925,54750,54750,54750,73000,73000,109500,109500,102200,91250,94900,73000,87600,87600,36000,42000,93000,90000,100000,109000,110000,110000,,
404210,19769170,BRANDON ROAD LOCK AND DAM,1,,3380746,3086982,0,,,,,,,,,,,,,,,,37595,,,,,,,,,,,,,,,,,,,,,,
404211,19769920,CHANNAHON PARKWAY STATE PARK,1,215,3347607,3056014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404212,19769920,CHANNAHON PARKWAY STATE PARK,2,266,3341625,3039211,,,796000,120000,146000,180000,0,365000,365000,360000,365000,360000,365000,,,,,,,,,,,,,,,,,,,,,,,,,,
404220,19795165,HILLSIDE MHP,1,,3398037,3096426,620500,620500,0,560000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404221,19795240,C AND G MAINTENANCE CORP,1,,3517223,3069266,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404222,19795560,EAST LAWN SUBD,1,,3401537,3093896,1042560,585000,927890,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404223,19795920,LAKEVIEW IMPROVEMENT ASSN,1,,3377321,3088783,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404224,19795920,LAKEVIEW IMPROVEMENT ASSN,2,245,3377321,3088783,1825000,1825000,1825000,1825000,620000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404225,19795920,LAKEVIEW IMPROVEMENT ASSN,3,,3377321,3088783,1825000,1825000,1825000,1825000,620000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404234,19797960,GOVERNORS STATE UNIVERSITY,1,,3485635,3069587,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404235,19797960,GOVERNORS STATE UNIVERSITY,2,201,3484315,3070247,45000,75000,75000,75000,75000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
404236,19797960,GOVERNORS STATE UNIVERSITY,3,,3483655,3070907,0,0,0,62500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404237,19797960,GOVERNORS STATE UNIVERSITY,4,,3483655,3066287,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
404238,19797960,GOVERNORS STATE UNIVERSITY,5,,3487154,3065722,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404586,19714241,HANSON MATERIAL SERVICE - YARD 61,1,228,3388496,3123512,,,,,,,,,,,,,,,190000,,,,,,,,,,,44000000,43202000,,,,,,,,,,,0,
404587,19714241,HANSON MATERIAL SERVICE - YARD 61,2,145,3390946,3130994,8200000,10490000,11000000,15590000,12900000,1020000,1020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
404602,19714713,GOLF VISTA ESTATES,1,300,,,,,,,,,,,,,,,2016000,10368000,8352000,7500000,7250000,,,,,,,,,,,,1353600,390000,480000,480000,,,,,,,
404614,19713239,"MADAYS WHOLESALE GREENHOUSE, INC.",1,300,,,,,,,,,,,,,,,75000,200000,500000,500000,500000,600000,300000,300000,300000,300000,300000,100000,100000,100000,100000,,,,,,,,,,,,
404638,19730962,QUALITY TURF NURSERY,1,230,,,,,,,,,,,,,,18000000,18000000,,,,,,,,,,,,,,,,,,,,,,,,,,
404647,19713735,KEATING RESOURCES,5,1535,3377069,3081046,177013138,59884310,82199800,64349500,37511000,53428000,12987000,12987000,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,
404676,19714509,LINCOLNWAY HIGH SCHOOL,5,351,3428019,3090404,,,,,,,,,,,,,3323000,3323000,3120094,3331200,4500000,1825000,1800000,2000000,2816000,2816000,2675000,2675000,2675000,2500000,,,,,,,,8467200,,,,,
404712,19714258,TEERLING LANDSCAPE INC,1,245,3417896,3109182,,,,,,,,,,,,,,,400000,400000,4500000,2715400,,750000,,,,,,,,,,,,,,,,,,,
404713,19714258,TEERLING LANDSCAPE INC,2,230,3418556,3107862,,,,,,,,,,,,,,,100000,100000,300000,180000,,120000,,,,,,,,,,,,,,,,,,,
404714,19714258,TEERLING LANDSCAPE INC,3,355,3418556,3107862,,,,,,,,,,,,,,,5000000,5000000,9000000,2715400,,,,,,,,,,,,,,,,,,,,,
404802,19714749,LEONARD SAUNORIS NURSERY,1,,3459127,3033282,,,,,,,,,,,,,1760655,2023455,2023455,2023455,,,,,,,,,,,,,,,,,,,,,,,
404842,19714152,BOLINGBROOK PARK DISTRICT,1,130,3390883,3161272,,,,,,,,,,,,,,,6517000,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
404843,19712819,CHANNAHON PARK DISTRICT,4,205,3354275,3060202,,,,,,,,,,,,,250002,250002,,,0,,,,,,,,,,,,,,,,,,,,,,
404844,19712819,CHANNAHON PARK DISTRICT,5,165,3354275,3060202,,,,,,,,,,,,,250002,250002,312503,312503,0,,7500,146000,3000,3000,3000,367000,365000,365000,350000,350000,350000,375000,350000,375000,375000,375000,,,,,
404845,19730131,COMM ED - JOLIET OFFICE BLDG,2,275,3400034,3083389,,,,,,,,,,,,,,,,,1950000,,,2628000,2555000,2609750,2615225,2616950,2628435,2957391,,,,,,,,,,,,,
404846,19712794,GODLEY PARK DISTRICT,1,680,,,,,,,,,,,,,,,316200,319700,44020,44020,40660,,676795,539350,449950,422150,403750,330050,,,,,,,,,,,,,,,
404847,19713337,GREEN GARDEN GOLF COURSE,1,270,3452949,3058133,,,,,,,,,,,,,100000,500000,80000,75000,85000,87000,80000,85000,90000,75000,40000,40000,30000,83000,83000,85000,85000,85000,81000,81000,84000,85050,90100,93700,93500,,
404848,19713337,GREEN GARDEN GOLF COURSE,2,430,3452949,3058793,,,,,,,,,,,,,3000000,4000000,3000000,3500000,4200000,5000000,6000000,6500000,10000000,10500000,12000000,12000000,12000000,24000000,24000000,22000000,20000000,20000000,18000000,18000000,20000000,0,0,0,0,,
404851,19713337,GREEN GARDEN GOLF COURSE,3,180,3453609,3058133,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
404852,19713337,GREEN GARDEN GOLF COURSE,4,180,3453609,3058793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404853,19713337,GREEN GARDEN GOLF COURSE,5,180,3452289,3059453,,,,,,,,,,,,,2000000,2000000,700000,1840250,1638660,3538580,2651420,,1000000,,,,,,,,,,,,,,,,,,
404854,19713337,GREEN GARDEN GOLF COURSE,6,475,3455589,3056813,,,,,,,,,,,,,5000000,6000000,4000000,5500000,7776000,8000000,6000000,,12000000,8500000,25000000,25000000,35000000,10000000,7000000,7000000,7000000,8000000,9000000,9000000,7000000,9450000,10100000,10400000,500000,,
404855,19713936,JOLIET PARK DISTRICT,3,225,3405881,3097359,,,,,,,,,,,,,,,,,,,,1314800,1314800,1314800,657400,1224000,657400,1224000,1224000,1224000,224000,1224000,1276000,1119700,1223400,,,,,,
404856,19714284,ROSE HILL CREEK NURSERY,1,140,3429913,3106385,,,,,,,,,,,,,0,37500,50000,120000,50000,450000,,1050000,1050000,1050000,71250,,,,,,,,,,,,,,,,
404863,19712794,GODLEY PARK DISTRICT,2,700,,,,,,,,,,,,,,,316200,319700,44020,44020,40660,,676795,539350,449950,422150,403750,330050,59500,,,,,,,,,,,,,,
404908,19713936,JOLIET PARK DISTRICT,4,200,3407201,3096039,,,,,,,,,,,,,,,,,,,,657400,657400,657400,1314800,1224000,1314800,1224000,1224000,1224000,224000,1224000,1150000,1070500,1119500,,,,,,
405016,19790050,BEECHER,4,565,3510445,3030800,,,,,,,,,,,,,,3164000,12506000,17860000,46378000,46079000,43442000,37466000,,54426000,43121000,59576000,76632000,76126000,76126000,73993000,73993000,73993000,78847000,87429000,92197000,95834000,63469000,55023000,58204000,61909000,
405017,19769170,BRANDON ROAD LOCK AND DAM,2,,3380746,3086982,,402000,402000,150000,290000,,290000,250000,25550,36400,36200,36400,36400,36500,36500,36500,,,,,,,,,,,,,,,,,,,,,,,
405028,19790250,CREST HILL,9,320,3369877,3106421,,,,,,,,,,,,,,0,0,19685000,167807000,173462100,174085500,139242000,138879000,183780300,141698200,138410000,106645000,122412358,119456000,108708000,123623000,206869000,182327000,182327000,120687000,120328000,23792000,,,,
405030,19790500,LOCKPORT,6,380,3406705,3111305,,,,,,,,,,,,,,,78870000,115554000,106247000,111660000,176876600,141943000,74175000,143177000,194846000,126609375,165387000,165387000,189667000,202427000,169472000,186389000,174233000,128308000,155554800,196097000,192938000,203283000,195179000,170924000,222382000
405085,19797490,SOUTHEAST JOLIET SANITARY DIST,2,275,3385485,3081694,,,,,,,,,,,,,,,,,,,,36433022,,39785000,39785000,,32850000,32850000,,,,,,,,,,,,,
405095,19712133,BROKEN ARROW GOLF COURSE,1,300,3404579,3112414,,,,,,,,,,,,,,,94202000,,65000000,6000000,,,,,37986000,37986000,40492045,40492045,40492045,65015000,50024000,50024000,50024000,,,,,,,,
405141,19716655,CENTRAL SOD FARMS - WILL CTY,1,,3341837,3157736,,,,,,,,,,,,,,,8700000,4320000,,,,,,,,,,43200000,,,,,,,,,,,,,
405142,19716655,CENTRAL SOD FARMS - WILL CTY,2,160,3342497,3157736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405143,19716655,CENTRAL SOD FARMS - WILL CTY,3,190,3341837,3158396,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
405144,19716655,CENTRAL SOD FARMS - WILL CTY,4,160,3353681,3158120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405145,19716655,CENTRAL SOD FARMS - WILL CTY,5,145,3352361,3158780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405146,19716655,CENTRAL SOD FARMS - WILL CTY,6,746,3341592,3149636,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
405148,19790600,MOKENA,6,425,3438223,3088041,,,,,,,,,,,,,,,,,,,2399000,145691000,,115375000,21700000,,,,,120000,120000,120000,120000,120000,120000,245000,153000,185000,183000,109000,
