p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
401620,,VALLEY CONCRETE,,53,3346038,3061301,0,0,0,200000,300000,500000,500000,,,1600000,,140000,140000,140000,150000,28000,,,28000,28000,,,,,,,,,,,,,,,,,,,
402046,09169910,KANKAKEE RIVER STATE PARK,5,102,3403992,2981859,312440,,,,,127000,2250000,2250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402386,19713730,OLIN CORP  JOLIET PLANT,6,1498,3375125,3079424,,,,,,,,,,,42048000,43200000,43400000,25350000,14560000,5000000,5000000,18000000,19500000,21000000,15400000,9000000,9000000,13250000,11500000,11500000,11500000,10000000,9240000,9240000,8800000,5752000,4252000,4252000,4252000,4252000,4000000,3000000,
402655,19714241,HANSON MATERIAL SERVICE - YARD 61,3,160,3390750,3131582,,,,,,,,,,,,,,,,,,,,,,,,,,30000,15000,15000,15000,14000,20000,53000,15000,50000,50000,50000,50000,100000,
403988,19701250,CLEVELAND STEEL CONTAINER,1,122,,,350000,2250000,1875000,250000,175000,180000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403989,19712590,"DOVATECH, LTD.",1,,3513384,3024354,365000,290000,290000,378750,341250,668750,712500,948750,993750,978875,892280,856480,886980,962750,1002400,962750,962750,886980,966800,966800,773440,773440,773440,773800,1730034,735017,661515,661517,554865,674747,725415,726000,,,,,,,
403990,19712595,GEORGE BRUCER,1,,3517869,3050146,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403991,19712600,SHADY LAWN GOLF COURSE,1,200,3513760,3030879,9150000,525000,8000000,6000000,20000000,2592000,3000000,18000000,9600000,,,,,,,,,,,760500,500000,760500,500000,500000,500000,,,,,,,,,,,,,,
403993,19712601,TUCKAWAY GOLF CLUB,1,195,3527071,3047856,9150000,9150000,9150000,9150000,9150000,9150000,9150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403994,19712795,EXELON - BRAIDWOOD STATION,1,1753,3347983,2992224,7534512,0,0,0,0,0,,168000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
403995,19712795,EXELON - BRAIDWOOD STATION,2,1690,3359340,2984627,0,4800000,3000000,1666900,2060000,2550000,2840000,2940000,2570000,2614000,3590000,3110000,1210000,2526000,1789000,475000,3140190,2586000,2987010,2786040,1462032,1300000,1200000,1300000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,
403999,19712802,LOLLY'S STEAK HOUSE,1,,3343506,2998746,1830000,1830000,1830000,1830000,1830000,,1830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404001,19712819,CHANNAHON PARK DISTRICT,1,45,3359967,3074899,0,0,1200000,615000,615000,615000,416670,416670,416670,416670,146670,416670,250002,250002,312503,312503,35000,,30000,5000,5000,5000,5000,5000,5000,4000,4000,2000,2000,1000,1000,1000,2000,,,,,,
404002,19712819,CHANNAHON PARK DISTRICT,2,61,3360627,3074899,0,0,30000,615000,615000,615000,416660,416660,416670,416670,416670,416670,250002,250002,312503,312503,,,7500,56820,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,230000,240000,,,,,
404003,19712819,CHANNAHON PARK DISTRICT,3,50,       ,       ,0,0,0,0,20000,20000,416670,416670,416670,416670,416670,416670,250002,250002,312503,312503,0,,,190080,190080,190080,190080,156000,155000,150000,150000,150000,125000,125000,150000,175000,175000,90000,,,,,
404004,19712821,CHANNAHON SCHOOL DISTRICT,1,300,3350658,3063281,3190100,2971100,2810500,2949200,3087900,3248500,1566400,1566400,1883300,1922125,1932340,1942465,2640000,1952695,2469600,2206260,,,,,,,,,,,,,,,,,,,,,,,
404005,19712821,CHANNAHON SCHOOL DISTRICT,2,200,3347607,3059314,0,0,0,0,0,182500,0,0,,,,,,,997200,552600,,,558000,558000,,,,,,,,,,,,,,,,,,,
404006,19712821,CHANNAHON SCHOOL DISTRICT,3,750,3344715,3064376,3348875,3175500,3421875,2708300,2708300,2474700,1267200,1267200,1267200,1302100,1342225,1385225,1478400,1396328,558000,1080000,,,,,,,,,,,,,,,,,,,,,,,
404008,19712822,DOW CHEMICAL,1,1605,3354035,3050359,2372500,7645000,5490350,3728840,3000000,6307200,2292086,1228225,1525500,1400000,1400000,1557000,2210000,1645261,1665321,3484625,2141780,,,2158813,2129669,2130000,2068000,2110000,2110100,2169990,2227296,2107035,2054443,2032664,2164000,2056000,1981950,1724343,1894903,2197186,1991584,2903328,
404009,19712900,OILTANKING JOLIET,1,800,3350799,3047542,0,1000000,632180,478080,850000,700000,500000,512935,520500,500000,350000,1100000,1182000,2279000,1745000,1105000,1100000,,,791520,810070,810100,786000,805500,820600,829990,858650,819402,47143,1637632,1780000,1780000,1170018,1744063,,,,,
404010,19712824,NE ILLINOIS AGRONOMY RESEARCH,1,225,3369961,3064340,9150000,2730000,2730000,2730000,2730000,24000,12500,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404011,19713225,CHICAGO MILWAUKEE ST PAUL & PACIFIC RR,2,350,3515540,3061344,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
