STR_ORD_MI,STR_ORD_MA,SUM_LENGTH,rvr_stg,lamx,lamy
,,,792.1099854,2891187.5,3457562.5
,,,792.9099731,2891812.5,3457562.5
,,,794.2000122,2891187.5,3456937.5
,,,794.7000122,2891812.5,3456937.5
,,,768.8099976,2918687.5,3456937.5
,,,795.7199707,2890562.5,3456312.5
,,,768.8099976,2918687.5,3456312.5
,,,768.8099976,2919312.5,3456312.5
,,,813.4899902,2928062.5,3456312.5
,,,796.8900146,2928687.5,3456312.5
,,,797.5800171,2929312.5,3456312.5
,,,785.6799927,2929937.5,3456312.5
,,,785.8699951,2930562.5,3456312.5
,,,800.0999756,2934937.5,3456312.5
,,,801.3200073,2935562.5,3456312.5
,,,806.7199707,2936187.5,3456312.5
,,,808.0200195,2937437.5,3456312.5
,,,808.1500244,2938062.5,3456312.5
,,,812.6500244,2938687.5,3456312.5
,,,817.4699707,2939312.5,3456312.5
,,,796.7700195,2889937.5,3455687.5
,,,796.4799805,2890562.5,3455687.5
,,,798.039978,2891187.5,3455687.5
,,,768.8099976,2919312.5,3455687.5
,,,768.8099976,2919937.5,3455687.5
,,,790.960022,2929312.5,3455687.5
,,,785.5300293,2929937.5,3455687.5
,,,805.2199707,2935562.5,3455687.5
,,,807.789978,2936187.5,3455687.5
,,,807.8300171,2936812.5,3455687.5
,,,810.1900024,2937437.5,3455687.5
,,,813.1099854,2938062.5,3455687.5
,,,832.6400146,2963687.5,3455687.5
,,,838.210022,2967437.5,3455687.5
,,,838.4299927,2968062.5,3455687.5
,,,797.0900269,2890562.5,3455062.5
,,,798.4899902,2891187.5,3455062.5
,,,768.8099976,2919312.5,3455062.5
,,,768.8099976,2919937.5,3455062.5
,,,781.4899902,2929937.5,3455062.5
,,,808.710022,2935562.5,3455062.5
,,,817.4899902,2936187.5,3455062.5
,,,808.539978,2936812.5,3455062.5
,,,808.5100098,2937437.5,3455062.5
,,,813.6699829,2938062.5,3455062.5
,,,813.8800049,2938687.5,3455062.5
,,,826.0700073,2939937.5,3455062.5
,,,831.710022,2963062.5,3455062.5
,,,832.1500244,2963687.5,3455062.5
,,,838.210022,2966812.5,3455062.5
,,,838.210022,2967437.5,3455062.5
,,,813.2399902,2889312.5,3454437.5
,,,802.0499878,2889937.5,3454437.5
,,,800.0900269,2890562.5,3454437.5
,,,799.539978,2891187.5,3454437.5
,,,775.0499878,2915562.5,3454437.5
,,,768.8099976,2918687.5,3454437.5
,,,768.8099976,2919312.5,3454437.5
,,,779.0300293,2929937.5,3454437.5
,,,827.7999878,2963062.5,3454437.5
,,,838.1900024,2966812.5,3454437.5
,,,838.25,2967437.5,3454437.5
,,,803.4799805,2889312.5,3453812.5
,,,801.7399902,2889937.5,3453812.5
,,,801.2399902,2890562.5,3453812.5
,,,772.6199951,2915562.5,3453812.5
,,,768.8099976,2918062.5,3453812.5
,,,768.8099976,2918687.5,3453812.5
,,,777.4699707,2929312.5,3453812.5
,,,826.9899902,2962437.5,3453812.5
,,,826.6300049,2963062.5,3453812.5
,,,832.0999756,2965562.5,3453812.5
,,,832.289978,2966187.5,3453812.5
,,,836.9099731,2966812.5,3453812.5
,,,812.539978,2888062.5,3453187.5
,,,809.3300171,2888687.5,3453187.5
,,,804.7600098,2889312.5,3453187.5
,,,770.0700073,2915562.5,3453187.5
,,,768.8099976,2916187.5,3453187.5
,,,768.8099976,2916812.5,3453187.5
,,,768.8099976,2917437.5,3453187.5
,,,768.8099976,2918062.5,3453187.5
,,,777.6500244,2928687.5,3453187.5
,,,776.5800171,2929312.5,3453187.5
